stop_id,stop_code,stop_name,platform_code,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding
3282M,A1,Kabaty,,52.13217748393,21.06498599052,1,1,,1
3282M:P1,A1,Kabaty,,52.13198320212,21.06517374516,1,0,3282M,1
3282M:E1,,1,,52.13162097953,21.0659891367,1,2,3282M,1
3282M:E2,,2,,52.13098214344,21.06658995152,1,2,3282M,2
3282M:E3,,3,,52.13100519438,21.06580138206,1,2,3282M,2
3282M:E4,,4,,52.13145303897,21.06534540653,1,2,3282M,1
3282M:E5,,5,,52.13246067284,21.06430470943,1,2,3282M,2
3282M:E6,,6,,52.13274715282,21.0640257597,1,2,3282M,2
3282M:E7,,7,,52.13299082399,21.06457293034,1,2,3282M,2
3282M:E8,,8,,52.13266812404,21.064889431,1,2,3282M,2
3281M,A2,Natolin,,52.14112011579,21.05640292168,1,1,,1
3281M:P1,A2,Natolin,,52.14100817936,21.05651021004,1,0,3281M,1
3281M:E1,,1,,52.14064603015,21.05726659298,1,2,3281M,1
3281M:E2,,2,,52.14034313947,21.05755627155,1,2,3281M,2
3281M:E3,,3,,52.14020157029,21.05696618557,1,2,3281M,1
3281M:E4,,4,,52.14046495445,21.05671942234,1,2,3281M,2
3281M:E5,,5,,52.14149872222,21.05573773384,1,2,3281M,2
3281M:E6,,6,,52.14175880651,21.05544805527,1,2,3281M,2
3281M:E7,,7,,52.1419102473,21.0559040308,1,2,3281M,2
3281M:E8,,8,,52.14167650152,21.0561722517,1,2,3281M,2
3280M,A3,Imielin,,52.14920513266,21.04622662067,1,1,,1
3280M:P1,A3,Imielin,,52.14913600804,21.04636609554,1,0,3280M,1
3280M:E1,,1,,52.148834,21.0475297,1,2,3280M,1
3280M:E2,,2,,52.1485304,21.0470712,1,2,3280M,1
3280M:E3,,3,,52.1494784,21.0453647,1,2,3280M,2
3280M:E4,,4,,52.1497017,21.045003,1,2,3280M,2
3280M:E5,,5,,52.1500545,21.045511,1,2,3280M,2
3280M:E6,,6,,52.1498257,21.0458745,1,2,3280M,2
3132M,A4,Stokłosy,,52.1560643948,21.03469312191,1,1,,1
3132M:P1,A4,Stokłosy,,52.15596566052,21.03486478329,1,0,3132M,1
3132M:E1,,1,,52.1557332,21.0358452,1,2,3132M,1
3132M:E2,,2,,52.155336,21.035588,1,2,3132M,2
3132M:E3,,3,,52.155374,21.035291,1,2,3132M,1
3132M:E4,,4,,52.1563424,21.0333411,1,2,3132M,2
3132M:E5,,5,,52.156651,21.033426,1,2,3132M,2
3132M:E6,,6,,52.1569,21.033824,1,2,3132M,2
3132M:E7,,7,,52.156858,21.034127,1,2,3132M,2
3127M,A5,Ursynów,,52.16203412064,21.02764427662,1,1,,1
3127M:P1,A5,Ursynów,,52.16182680621,21.02769255638,1,0,3127M,1
3127M:E1,,1,,52.16131016127,21.02836310863,1,2,3127M,1
3127M:E2,,2,,52.1612199,21.0275754,1,2,3127M,1
3127M:E3,,3,,52.16245203728,21.02702736855,1,2,3127M,2
3127M:E4,,4,,52.1625879,21.028024,1,2,3127M,2
3279M,A6,Służew,,52.17265851485,21.02630317211,1,1,,1
3279M:P1,A6,Służew,,52.1725302081,21.02629780769,1,0,3279M,1
